Ticker,Instrument_Type,First_Date,Last_Date,Calendar_Days,Days_Adjusted,Days_Unadjusted,Days_Both,Coverage_Ratio
TB2Y0426,TreasuryBill,2024-05-12,2026-06-01,751,23,23,23,0.0306
TB2Y0525,TreasuryBill,2025-06-01,2025-12-01,184,3,3,3,0.0163
TB2Y0526,TreasuryBill,2024-01-10,2025-12-21,712,22,22,22,0.0309
TB2Y0527,TreasuryBill,2025-08-20,2025-08-28,9,2,2,2,0.2222
TB2Y0626,TreasuryBill,2024-12-18,2026-04-01,470,12,12,12,0.0255
TB2Y0627,TreasuryBill,2025-03-08,2026-01-19,318,10,10,10,0.0314
TB2Y0725,TreasuryBill,2024-10-23,2025-12-05,409,22,22,22,0.0538
TB2Y0727,TreasuryBill,2025-03-08,2025-11-18,256,3,3,3,0.0117
TB2Y0826,TreasuryBill,2024-09-25,2025-10-26,397,24,24,24,0.0605
TB2Y0925,TreasuryBill,2024-05-12,2025-11-08,546,37,37,37,0.0678
TB2Y0927,TreasuryBill,2025-07-12,2025-07-12,1,1,1,1,1.0
TB2Y1026,TreasuryBill,2024-08-12,2026-12-01,842,6,6,6,0.0071
TB2Y1125,TreasuryBill,2024-05-12,2025-08-24,470,16,16,16,0.034
TB2Y1126,TreasuryBill,2024-02-12,2026-12-01,1024,26,26,26,0.0254
TB5Y0125,TreasuryBill,2024-06-11,2025-07-01,386,12,12,12,0.0311
TB5Y0230,TreasuryBill,2025-02-26,2025-10-09,226,6,6,6,0.0265
TB5Y0425,TreasuryBill,2024-05-11,2025-01-27,262,7,7,7,0.0267
TB5Y0429,TreasuryBill,2024-01-12,2025-12-11,700,27,27,27,0.0386
TB5Y0430,TreasuryBill,2025-04-29,2025-09-07,132,2,2,2,0.0152
TB5Y0529,TreasuryBill,2024-01-12,2026-07-01,902,48,48,48,0.0532
TB5Y0628,TreasuryBill,2025-06-24,2025-06-24,1,1,1,1,1.0
TB5Y0630,TreasuryBill,2025-03-12,2026-01-15,310,15,15,15,0.0484
TB5Y0928,TreasuryBill,2025-01-12,2025-07-30,200,2,2,2,0.01
TB5Y0930,TreasuryBill,2025-10-13,2025-11-24,43,5,5,5,0.1163
TB5Y1029,TreasuryBill,2024-10-20,2026-11-01,743,20,20,20,0.0269
TB5Y1128,TreasuryBill,2024-01-12,2026-01-14,734,14,14,14,0.0191
TB5Y1130,TreasuryBill,2026-08-01,2026-08-01,1,1,1,1,1.0
TB5Y1225,TreasuryBill,2025-01-28,2025-08-07,192,3,3,3,0.0156
TB5Y1228,TreasuryBill,2025-04-21,2025-11-09,203,7,7,7,0.0345
TB5Y1229,TreasuryBill,2025-01-20,2025-11-19,304,19,19,19,0.0625
TECHNODRUG,Equity,2024-01-08,2026-12-01,1059,365,364,364,0.3437
TILIL,Equity,2023-01-06,2026-12-01,1426,646,645,645,0.4523
TITASGAS,Equity,2012-01-10,2026-12-01,5440,3095,3094,3094,0.5688
TOSRIFA,Equity,2015-01-09,2026-12-01,4345,2475,2474,2474,0.5694
TRUSTB1MF,MutualFund,2012-01-10,2026-12-01,5440,3115,3114,3114,0.5724
TRUSTBANK,Equity,2012-01-10,2026-12-01,5440,3093,3092,3092,0.5684
TUNGHAI,Equity,2014-01-09,2026-12-01,4710,2561,2560,2560,0.5435
UCB,Equity,2012-01-10,2026-12-01,5440,3145,3144,3144,0.5779
UCB2PBOND,Bond,2024-03-18,2024-04-03,17,2,2,2,0.1176
UNILEVERCL,Equity,2012-01-10,2026-12-01,5440,3108,3107,3107,0.5711
UNIONBANK,Equity,2022-01-02,2025-12-10,1439,900,899,899,0.6247
UNIONCAP,Equity,2012-01-10,2026-12-01,5440,3146,3145,3145,0.5781
UNIONINS,Equity,2022-01-02,2026-12-01,1795,965,964,964,0.537
UNIQUEHRL,Equity,2012-01-10,2026-12-01,5440,3132,3131,3131,0.5756
UNITEDFIN,Equity,2012-01-10,2026-12-01,5440,3019,3018,3018,0.5548
UNITEDINS,Equity,2012-01-10,2026-12-01,5440,3066,3065,3065,0.5634
UPGDCL,Equity,2015-01-06,2026-12-01,4348,2522,2521,2521,0.5798
USMANIAGL,Equity,2012-01-10,2026-12-01,5440,3116,3115,3115,0.5726
UTTARABANK,Equity,2012-01-10,2026-12-01,5440,3158,3157,3157,0.5803
UTTARAFIN,Equity,2012-01-10,2026-12-01,5440,2989,2988,2988,0.5493
VAMLBDMF1,MutualFund,2016-01-02,2025-12-22,3643,2018,2017,2017,0.5537
VAMLRBBF,Equity,2016-05-12,2026-12-01,3856,1873,1872,1872,0.4855
VFSTDL,Equity,2018-01-10,2026-12-01,3248,1545,1544,1544,0.4754
WALTONHIL,Equity,2020-01-10,2026-12-01,2518,1217,1216,1216,0.4829
WATACHEM,Equity,2014-01-09,2026-12-01,4710,2662,2661,2661,0.565
WEBCOATS,Equity,2024-01-04,2026-12-01,1063,439,438,438,0.412
WMSHIPYARD,Equity,2014-01-12,2026-12-01,4707,2645,2644,2644,0.5617
WONDERTOYS,Equity,2021-01-12,2026-12-01,2150,960,436,436,0.2028
YPL,Equity,2016-01-11,2026-12-01,3978,2194,2193,2193,0.5513
YUSUFLOUR,Equity,2022-01-12,2025-12-28,1447,148,87,87,0.0601
ZAHEENSPIN,Equity,2015-01-04,2026-12-01,4350,2493,2492,2492,0.5729
ZAHINTEX,Equity,2012-01-10,2026-12-01,5440,3005,3004,3004,0.5522
ZEALBANGLA,Equity,2012-01-11,2026-12-01,5439,2830,2829,2829,0.5201
